1, plains, minecraft:plains, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
304, extreme_hills, minecraft:meadow, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
305, extreme_hills, minecraft:meadow, MONSTER, uselessreptile:moleclaw, 80, 1, 1
306, extreme_hills, minecraft:meadow, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
307, extreme_hills, minecraft:meadow, AMBIENT, mythicmounts:firebird, 5, 1, 1
308, forest, minecraft:grove, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
309, forest, minecraft:grove, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
310, forest, minecraft:grove, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
311, forest, minecraft:grove, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
312, forest, minecraft:grove, MONSTER, direbats:direbat, 36, 1, 3
313, forest, minecraft:grove, MONSTER, mythicmounts:dragon, 80, 1, 1
314, forest, minecraft:grove, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
315, forest, minecraft:grove, MONSTER, graveyard:ghoul, 25, 2, 5
316, forest, minecraft:grove, MONSTER, uselessreptile:moleclaw, 80, 1, 1
317, forest, minecraft:grove, MONSTER, graveyard:revenant, 25, 5, 8
318, forest, minecraft:grove, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
319, forest, minecraft:grove, CREATURE, mythicmounts:acencia, 10, 1, 3
320, forest, minecraft:grove, AMBIENT, mythicmounts:firebird, 5, 1, 1
321, icy, minecraft:snowy_slopes, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
322, icy, minecraft:snowy_slopes, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
323, icy, minecraft:snowy_slopes, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
324, icy, minecraft:snowy_slopes, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
325, icy, minecraft:snowy_slopes, MONSTER, mythicmounts:dragon, 80, 1, 1
326, icy, minecraft:snowy_slopes, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
327, icy, minecraft:snowy_slopes, MONSTER, uselessreptile:moleclaw, 80, 1, 1
328, icy, minecraft:snowy_slopes, MONSTER, graveyard:nightmare, 10, 1, 1
329, icy, minecraft:snowy_slopes, MONSTER, graveyard:revenant, 25, 5, 8
330, icy, minecraft:snowy_slopes, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
331, icy, minecraft:snowy_slopes, CREATURE, mythicmounts:griffon, 10, 1, 1
332, icy, minecraft:snowy_slopes, AMBIENT, mythicmounts:firebird, 5, 1, 1
333, extreme_hills, minecraft:frozen_peaks, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
334, extreme_hills, minecraft:frozen_peaks, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
335, extreme_hills, minecraft:frozen_peaks, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
336, extreme_hills, minecraft:frozen_peaks, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
337, extreme_hills, minecraft:frozen_peaks, MONSTER, mythicmounts:dragon, 80, 1, 1
338, extreme_hills, minecraft:frozen_peaks, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
339, extreme_hills, minecraft:frozen_peaks, MONSTER, uselessreptile:moleclaw, 80, 1, 1
340, extreme_hills, minecraft:frozen_peaks, MONSTER, graveyard:revenant, 25, 5, 8
341, extreme_hills, minecraft:frozen_peaks, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
342, extreme_hills, minecraft:frozen_peaks, AMBIENT, mythicmounts:firebird, 5, 1, 1
343, extreme_hills, minecraft:jagged_peaks, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
344, extreme_hills, minecraft:jagged_peaks, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
345, extreme_hills, minecraft:jagged_peaks, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
346, extreme_hills, minecraft:jagged_peaks, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
347, extreme_hills, minecraft:jagged_peaks, MONSTER, mythicmounts:dragon, 80, 1, 1
348, extreme_hills, minecraft:jagged_peaks, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
349, extreme_hills, minecraft:jagged_peaks, MONSTER, uselessreptile:moleclaw, 80, 1, 1
350, extreme_hills, minecraft:jagged_peaks, MONSTER, graveyard:revenant, 25, 5, 8
351, extreme_hills, minecraft:jagged_peaks, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
352, extreme_hills, minecraft:jagged_peaks, CREATURE, mythicmounts:griffon, 10, 1, 1
353, extreme_hills, minecraft:jagged_peaks, AMBIENT, mythicmounts:firebird, 5, 1, 1
354, extreme_hills, minecraft:stony_peaks, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
355, extreme_hills, minecraft:stony_peaks, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
356, extreme_hills, minecraft:stony_peaks, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
357, extreme_hills, minecraft:stony_peaks, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
358, extreme_hills, minecraft:stony_peaks, MONSTER, mythicmounts:dragon, 80, 1, 1
359, extreme_hills, minecraft:stony_peaks, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
360, extreme_hills, minecraft:stony_peaks, MONSTER, uselessreptile:moleclaw, 80, 1, 1
361, extreme_hills, minecraft:stony_peaks, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
362, extreme_hills, minecraft:stony_peaks, AMBIENT, mythicmounts:firebird, 5, 1, 1
363, river, minecraft:river, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
364, river, minecraft:river, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
365, river, minecraft:river, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
366, river, minecraft:river, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
367, river, minecraft:river, MONSTER, mythicmounts:dragon, 80, 1, 1
368, river, minecraft:river, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
369, river, minecraft:river, MONSTER, uselessreptile:moleclaw, 80, 1, 1
370, river, minecraft:river, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
371, river, minecraft:river, AMBIENT, mythicmounts:firebird, 5, 1, 1
372, river, minecraft:frozen_river, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
373, river, minecraft:frozen_river, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
374, river, minecraft:frozen_river, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
375, river, minecraft:frozen_river, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
376, river, minecraft:frozen_river, MONSTER, mythicmounts:dragon, 80, 1, 1
377, river, minecraft:frozen_river, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
378, river, minecraft:frozen_river, MONSTER, uselessreptile:moleclaw, 80, 1, 1
379, river, minecraft:frozen_river, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
380, river, minecraft:frozen_river, AMBIENT, mythicmounts:firebird, 5, 1, 1
381, beach, minecraft:beach, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
382, beach, minecraft:beach, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
383, beach, minecraft:beach, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
384, beach, minecraft:beach, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
385, beach, minecraft:beach, MONSTER, mythicmounts:dragon, 80, 1, 1
386, beach, minecraft:beach, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
387, beach, minecraft:beach, MONSTER, uselessreptile:moleclaw, 80, 1, 1
388, beach, minecraft:beach, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
389, beach, minecraft:beach, AMBIENT, mythicmounts:firebird, 5, 1, 1
390, beach, minecraft:snowy_beach, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
391, beach, minecraft:snowy_beach, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
392, beach, minecraft:snowy_beach, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
393, beach, minecraft:snowy_beach, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
394, beach, minecraft:snowy_beach, MONSTER, mythicmounts:dragon, 80, 1, 1
395, beach, minecraft:snowy_beach, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
396, beach, minecraft:snowy_beach, MONSTER, uselessreptile:moleclaw, 80, 1, 1
397, beach, minecraft:snowy_beach, MONSTER, graveyard:nightmare, 10, 1, 1
398, beach, minecraft:snowy_beach, MONSTER, graveyard:revenant, 25, 5, 8
399, beach, minecraft:snowy_beach, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
400, beach, minecraft:snowy_beach, AMBIENT, mythicmounts:firebird, 5, 1, 1
401, private, minecraft:stony_shore, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
402, private, minecraft:stony_shore, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
403, private, minecraft:stony_shore, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
404, private, minecraft:stony_shore, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
405, private, minecraft:stony_shore, MONSTER, mythicmounts:dragon, 80, 1, 1
406, private, minecraft:stony_shore, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
407, private, minecraft:stony_shore, MONSTER, uselessreptile:moleclaw, 80, 1, 1
408, private, minecraft:stony_shore, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
409, private, minecraft:stony_shore, AMBIENT, mythicmounts:firebird, 5, 1, 1
410, ocean, minecraft:warm_ocean, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
411, ocean, minecraft:warm_ocean, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
412, ocean, minecraft:warm_ocean, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
413, ocean, minecraft:warm_ocean, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
414, ocean, minecraft:warm_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
415, ocean, minecraft:warm_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
416, ocean, minecraft:warm_ocean, MONSTER, uselessreptile:moleclaw, 80, 1, 1
417, ocean, minecraft:warm_ocean, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
418, ocean, minecraft:warm_ocean, CREATURE, mythicmounts:nudibranch, 20, 2, 4
419, ocean, minecraft:warm_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
420, ocean, minecraft:lukewarm_ocean, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
421, ocean, minecraft:lukewarm_ocean, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
422, ocean, minecraft:lukewarm_ocean, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
423, ocean, minecraft:lukewarm_ocean, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
424, ocean, minecraft:lukewarm_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
425, ocean, minecraft:lukewarm_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
426, ocean, minecraft:lukewarm_ocean, MONSTER, uselessreptile:moleclaw, 80, 1, 1
427, ocean, minecraft:lukewarm_ocean, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
428, ocean, minecraft:lukewarm_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
429, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
430, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
431, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
432, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
433, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
434, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
435, ocean, minecraft:deep_lukewarm_ocean, MONSTER, uselessreptile:moleclaw, 80, 1, 1
436, ocean, minecraft:deep_lukewarm_ocean, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
437, ocean, minecraft:deep_lukewarm_ocean, CREATURE, mythicmounts:archelon, 5, 1, 1
438, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
439, ocean, minecraft:ocean, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
440, ocean, minecraft:ocean, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
441, ocean, minecraft:ocean, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
442, ocean, minecraft:ocean, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
443, ocean, minecraft:ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
444, ocean, minecraft:ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
445, ocean, minecraft:ocean, MONSTER, uselessreptile:moleclaw, 80, 1, 1
446, ocean, minecraft:ocean, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
447, ocean, minecraft:ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
448, ocean, minecraft:deep_ocean, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
449, ocean, minecraft:deep_ocean, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
450, ocean, minecraft:deep_ocean, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
451, ocean, minecraft:deep_ocean, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
452, ocean, minecraft:deep_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
453, ocean, minecraft:deep_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
454, ocean, minecraft:deep_ocean, MONSTER, uselessreptile:moleclaw, 80, 1, 1
455, ocean, minecraft:deep_ocean, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
456, ocean, minecraft:deep_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
457, ocean, minecraft:cold_ocean, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
458, ocean, minecraft:cold_ocean, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
459, ocean, minecraft:cold_ocean, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
460, ocean, minecraft:cold_ocean, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
461, ocean, minecraft:cold_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
462, ocean, minecraft:cold_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
463, ocean, minecraft:cold_ocean, MONSTER, uselessreptile:moleclaw, 80, 1, 1
464, ocean, minecraft:cold_ocean, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
465, ocean, minecraft:cold_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
466, ocean, minecraft:deep_cold_ocean, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
467, ocean, minecraft:deep_cold_ocean, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
468, ocean, minecraft:deep_cold_ocean, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
469, ocean, minecraft:deep_cold_ocean, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
470, ocean, minecraft:deep_cold_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
471, ocean, minecraft:deep_cold_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
472, ocean, minecraft:deep_cold_ocean, MONSTER, uselessreptile:moleclaw, 80, 1, 1
473, ocean, minecraft:deep_cold_ocean, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
474, ocean, minecraft:deep_cold_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
475, ocean, minecraft:frozen_ocean, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
476, ocean, minecraft:frozen_ocean, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
477, ocean, minecraft:frozen_ocean, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
478, ocean, minecraft:frozen_ocean, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
479, ocean, minecraft:frozen_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
480, ocean, minecraft:frozen_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
481, ocean, minecraft:frozen_ocean, MONSTER, uselessreptile:moleclaw, 80, 1, 1
482, ocean, minecraft:frozen_ocean, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
483, ocean, minecraft:frozen_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
484, ocean, minecraft:deep_frozen_ocean, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
485, ocean, minecraft:deep_frozen_ocean, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
486, ocean, minecraft:deep_frozen_ocean, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
487, ocean, minecraft:deep_frozen_ocean, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
488, ocean, minecraft:deep_frozen_ocean, MONSTER, mythicmounts:dragon, 80, 1, 1
489, ocean, minecraft:deep_frozen_ocean, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
490, ocean, minecraft:deep_frozen_ocean, MONSTER, uselessreptile:moleclaw, 80, 1, 1
491, ocean, minecraft:deep_frozen_ocean, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
492, ocean, minecraft:deep_frozen_ocean, AMBIENT, mythicmounts:firebird, 5, 1, 1
493, private, minecraft:mushroom_fields, MONSTER, mythicmounts:dragon, 80, 1, 1
494, private, minecraft:mushroom_fields, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
495, private, minecraft:mushroom_fields, MONSTER, uselessreptile:moleclaw, 80, 1, 1
496, private, minecraft:mushroom_fields, CREATURE, mythicmounts:colelytra, 10, 3, 3
497, private, minecraft:mushroom_fields, AMBIENT, mythicmounts:firebird, 5, 1, 1
498, private, minecraft:dripstone_caves, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
499, private, minecraft:dripstone_caves, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
500, private, minecraft:dripstone_caves, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
501, private, minecraft:dripstone_caves, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
502, private, minecraft:dripstone_caves, MONSTER, mythicmounts:dragon, 80, 1, 1
503, private, minecraft:dripstone_caves, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
504, private, minecraft:dripstone_caves, MONSTER, uselessreptile:moleclaw, 80, 1, 1
505, private, minecraft:dripstone_caves, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
506, private, minecraft:dripstone_caves, AMBIENT, mythicmounts:firebird, 5, 1, 1
507, private, minecraft:lush_caves, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
508, private, minecraft:lush_caves, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
509, private, minecraft:lush_caves, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
510, private, minecraft:lush_caves, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
511, private, minecraft:lush_caves, MONSTER, mythicmounts:dragon, 80, 1, 1
512, private, minecraft:lush_caves, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
513, private, minecraft:lush_caves, MONSTER, uselessreptile:moleclaw, 80, 1, 1
514, private, minecraft:lush_caves, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
515, private, minecraft:lush_caves, AMBIENT, mythicmounts:firebird, 5, 1, 1
516, private, minecraft:deep_dark, MONSTER, mythicmounts:dragon, 80, 1, 1
517, private, minecraft:deep_dark, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
518, private, minecraft:deep_dark, MONSTER, uselessreptile:moleclaw, 80, 1, 1
519, private, minecraft:deep_dark, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
520, private, minecraft:deep_dark, AMBIENT, mythicmounts:firebird, 5, 1, 1
521, nether, minecraft:nether_wastes, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
522, nether, minecraft:nether_wastes, MONSTER, soulsweapons:evil_forlorn, 20, 1, 1
523, nether, minecraft:warped_forest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
524, nether, minecraft:warped_forest, MONSTER, mythicmounts:netherbat, 50, 1, 1
525, nether, minecraft:crimson_forest, MONSTER, mythicmounts:netherbat, 50, 1, 1
526, nether, minecraft:crimson_forest, MONSTER, soulsweapons:withered_demon, 20, 1, 1
527, nether, minecraft:soul_sand_valley, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
528, nether, minecraft:soul_sand_valley, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
529, nether, minecraft:soul_sand_valley, MONSTER, mythicmounts:nightmare, 80, 2, 3
530, nether, minecraft:basalt_deltas, MONSTER, mythicmounts:nightmare, 80, 2, 3
531, private, minecraft:the_end, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
532, private, minecraft:end_highlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
533, private, minecraft:end_midlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
534, private, minecraft:small_end_islands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
535, private, minecraft:end_barrens, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
536, private, regions_unexplored:lush_delta, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
537, private, regions_unexplored:lush_delta, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
538, private, regions_unexplored:lush_delta, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
539, private, regions_unexplored:lush_delta, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
540, private, regions_unexplored:lush_delta, MONSTER, mythicmounts:dragon, 80, 1, 1
541, private, regions_unexplored:lush_delta, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
542, private, regions_unexplored:lush_delta, MONSTER, uselessreptile:moleclaw, 80, 1, 1
543, private, regions_unexplored:lush_delta, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
544, private, regions_unexplored:lush_delta, AMBIENT, mythicmounts:firebird, 5, 1, 1
545, private, regions_unexplored:scorching_caves, MONSTER, mythicmounts:dragon, 80, 1, 1
546, private, regions_unexplored:scorching_caves, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
547, private, regions_unexplored:scorching_caves, MONSTER, uselessreptile:moleclaw, 80, 1, 1
548, private, regions_unexplored:scorching_caves, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
549, private, regions_unexplored:scorching_caves, AMBIENT, mythicmounts:firebird, 5, 1, 1
550, private, regions_unexplored:prismachasm, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
551, private, regions_unexplored:prismachasm, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
552, private, regions_unexplored:prismachasm, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
553, private, regions_unexplored:prismachasm, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
554, private, regions_unexplored:prismachasm, MONSTER, mythicmounts:dragon, 80, 1, 1
555, private, regions_unexplored:prismachasm, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
556, private, regions_unexplored:prismachasm, MONSTER, uselessreptile:moleclaw, 80, 1, 1
557, private, regions_unexplored:prismachasm, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
558, private, regions_unexplored:prismachasm, AMBIENT, mythicmounts:firebird, 5, 1, 1
559, private, regions_unexplored:redstone_caves, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
560, private, regions_unexplored:redstone_caves, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
561, private, regions_unexplored:redstone_caves, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
562, private, regions_unexplored:redstone_caves, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
563, private, regions_unexplored:redstone_caves, MONSTER, mythicmounts:dragon, 80, 1, 1
564, private, regions_unexplored:redstone_caves, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
565, private, regions_unexplored:redstone_caves, MONSTER, uselessreptile:moleclaw, 80, 1, 1
566, private, regions_unexplored:redstone_caves, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
567, private, regions_unexplored:redstone_caves, AMBIENT, mythicmounts:firebird, 5, 1, 1
568, private, regions_unexplored:bioshroom_caves, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
569, private, regions_unexplored:bioshroom_caves, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
570, private, regions_unexplored:bioshroom_caves, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
571, private, regions_unexplored:bioshroom_caves, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
572, private, regions_unexplored:bioshroom_caves, MONSTER, mythicmounts:dragon, 80, 1, 1
573, private, regions_unexplored:bioshroom_caves, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
574, private, regions_unexplored:bioshroom_caves, MONSTER, uselessreptile:moleclaw, 80, 1, 1
575, private, regions_unexplored:bioshroom_caves, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
576, private, regions_unexplored:bioshroom_caves, AMBIENT, mythicmounts:firebird, 5, 1, 1
577, jungle, regions_unexplored:tropics, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
578, jungle, regions_unexplored:tropics, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
579, jungle, regions_unexplored:tropics, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
580, jungle, regions_unexplored:tropics, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
581, jungle, regions_unexplored:tropics, MONSTER, mythicmounts:dragon, 80, 1, 1
582, jungle, regions_unexplored:tropics, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
583, jungle, regions_unexplored:tropics, MONSTER, uselessreptile:moleclaw, 80, 1, 1
584, jungle, regions_unexplored:tropics, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
585, jungle, regions_unexplored:tropics, AMBIENT, mythicmounts:firebird, 5, 1, 1
586, forest, regions_unexplored:smouldering_woodland, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
587, forest, regions_unexplored:smouldering_woodland, MONSTER, direbats:direbat, 36, 1, 3
588, forest, regions_unexplored:smouldering_woodland, MONSTER, mythicmounts:dragon, 80, 1, 1
589, forest, regions_unexplored:smouldering_woodland, MONSTER, mythicmounts:geckotoalizard, 50, 1, 1
590, forest, regions_unexplored:smouldering_woodland, MONSTER, graveyard:ghoul, 25, 2, 5
591, forest, regions_unexplored:smouldering_woodland, MONSTER, uselessreptile:moleclaw, 80, 1, 1
592, forest, regions_unexplored:smouldering_woodland, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
593, forest, regions_unexplored:smouldering_woodland, AMBIENT, mythicmounts:firebird, 5, 1, 1
594, beach, regions_unexplored:grassy_beach, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
595, beach, regions_unexplored:grassy_beach, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
596, beach, regions_unexplored:grassy_beach, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
597, beach, regions_unexplored:grassy_beach, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
598, beach, regions_unexplored:grassy_beach, MONSTER, mythicmounts:dragon, 80, 1, 1
